"qseqid"	"strata"	"MIND"	"BIND"	"DirInf"	"Maker"	"Braker"	"Araport11"
"AT1G68862.4"	"Arabidopsis thaliana"	0	1	1	1	0	1
"AT1G68935.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G68945.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G70175.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT1G70209.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT1G70475.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G70944.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT1G71235.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT1G72141.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT1G72545.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G72755.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT1G73065.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT1G73600.uORF1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G74035.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G74385.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT1G74675.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G74675.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G74929.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT1G75945.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT1G76465.1"	"Arabidopsis thaliana"	1	0	1	0	0	1
"AT1G76728.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT1G76910.1"	"Arabidopsis thaliana"	0	1	0	1	0	1
"AT1G76994.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G77655.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G77880.2"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G77910.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT1G78030.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT1G78476.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT1G78880.uORF1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G79103.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G79170.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G79790.3"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G80525.1"	"Arabidopsis thaliana"	1	0	0	0	0	1
"AT1G80865.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT1G80865.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G01023.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT2G01035.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G01045.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G01175.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G01667.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G02026.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT2G02455.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT2G02493.1"	"Arabidopsis thaliana"	1	1	0	0	0	1
"AT2G02497.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT2G02525.1"	"Arabidopsis thaliana"	1	1	0	0	1	1
"AT2G02635.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G02695.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT2G02795.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G02835.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G03180.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G03565.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G03567.1"	"Arabidopsis thaliana"	0	1	0	1	0	1
"AT2G03570.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G03821.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G03822.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G03823.1"	"Arabidopsis thaliana"	1	0	1	0	0	1
"AT2G04380.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G04621.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G04675.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT2G04870.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G05185.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G05185.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G05270.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT2G05294.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT2G05632.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT2G05655.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G05655.2"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G05752.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G05753.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT2G05786.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT2G05915.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G06095.1"	"Arabidopsis thaliana"	0	1	0	1	0	1
"AT2G06645.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G06675.1"	"Arabidopsis thaliana"	0	1	0	0	1	1
"AT2G06906.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G06908.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G07000.1"	"Arabidopsis thaliana"	1	0	1	0	0	1
"AT2G07613.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT2G07617.1"	"Arabidopsis thaliana"	1	0	1	0	0	1
"AT2G07623.1"	"Arabidopsis thaliana"	0	0	0	1	1	1
"AT2G07625.1"	"Arabidopsis thaliana"	1	1	1	0	1	1
"AT2G07626.1"	"Arabidopsis thaliana"	1	0	1	0	0	1
"AT2G07631.1"	"Arabidopsis thaliana"	0	1	0	0	1	1
"AT2G07632.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G07634.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G07636.1"	"Arabidopsis thaliana"	1	0	0	1	1	1
"AT2G07637.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G07642.1"	"Arabidopsis thaliana"	1	0	0	1	1	1
"AT2G07644.1"	"Arabidopsis thaliana"	1	1	1	0	0	1
"AT2G07646.1"	"Arabidopsis thaliana"	1	1	0	0	0	1
"AT2G07648.1"	"Arabidopsis thaliana"	1	1	1	0	1	1
"AT2G07654.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT2G07661.1"	"Arabidopsis thaliana"	1	1	1	0	1	1
"AT2G07662.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G07665.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT2G07669.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G07672.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07684.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G07692.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07701.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07702.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07705.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07724.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07738.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G07775.1"	"Arabidopsis thaliana"	1	0	0	1	0	1
"AT2G07806.3"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G07810.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G07827.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G07827.2"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G07830.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT2G07835.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G07981.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT2G08986.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT2G09838.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT2G10020.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G10025.1"	"Arabidopsis thaliana"	0	1	0	0	0	1
"AT2G10455.1"	"Arabidopsis thaliana"	1	1	0	1	0	1
"AT2G10545.1"	"Arabidopsis thaliana"	0	1	0	0	1	1
"AT2G10556.1"	"Arabidopsis thaliana"	0	0	0	0	0	1
"AT2G10557.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT2G10602.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G10608.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G10608.2"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G10920.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G10931.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT2G11005.1"	"Arabidopsis thaliana"	1	1	0	1	1	1
"AT2G11025.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G11215.1"	"Arabidopsis thaliana"	1	1	1	1	1	1
"AT2G11225.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT2G11271.1"	"Arabidopsis thaliana"	0	0	0	1	0	1
"AT2G11405.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G11462.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G11522.1"	"Arabidopsis thaliana"	1	1	1	1	0	1
"AT2G11626.1"	"Arabidopsis thaliana"	0	1	0	1	1	1
"AT2G11773.1"	"Arabidopsis thaliana"	0	0	0	1	1	1
"AT2G11778.1"	"Arabidopsis thaliana"	0	1	0	1	0	1
