"qseqid"	"MIND"	"BIND"	"DirInf"	"Maker"	"Braker"	"NCBI"
"rna-gnl|WGS:POTR|OsKitaake01g153000.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g154200.2"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g157950.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g158100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g158200.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g160200.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g160900.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g162650.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g164700.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g164950.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g165050.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g166650.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g166950.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g168001.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g169300.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g170700.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g172300.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g172700.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g175833.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g175866.1"	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g177000.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g177150.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g177300.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g178050.1"	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g178333.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g178500.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g180100.1"	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g180150.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g180150.2"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g187701.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g188800.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g188920.1"	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g189300.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g189550.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g191000.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g192000.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g194200.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g194500.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g196401.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g197300.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g197801.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g198200.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g198350.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g200600.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g200600.2"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g201350.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g202750.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g202900.1"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g206200.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g207100.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g207740.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g207772.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g210000.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g210000.2"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g210300.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g210400.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g211200.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g212400.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g215250.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g215600.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g216600.1"	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g219900.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g222950.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g225500.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g226900.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g227001.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g228150.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g228300.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g234201.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g234300.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g234500.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g235400.2"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g236800.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g236800.2"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g239100.2"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g240733.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g240766.1"	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g246000.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g247000.1"	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g247566.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g247900.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g250732.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g253000.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g254250.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g254500.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g259900.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g260600.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g260600.2"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g260600.3"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g260850.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g261000.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g264300.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g265200.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g266000.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g267250.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g268100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g270850.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g273100.2"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g275100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g276433.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g279100.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g279850.1"	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g281100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g283500.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g285200.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g287150.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g288300.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g289400.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g292450.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g293032.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g300850.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g304050.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g304550.1"	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g307100.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g312000.1"	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g312050.1"	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g313800.1"	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g314601.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g314750.1"	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g315000.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g316000.1"	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g316050.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g318400.1"	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g318800.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g320700.1"	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g321550.1"	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g323700.1"	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
"rna-gnl|WGS:POTR|OsKitaake01g325700.1"	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE
