ID	len	gc	PS
AT1G03050	1800	0.455556	Eukaryota
AT1G03055	795	0.418868	Viridiplantae
AT1G03060	10806	0.429299	cellular_organisms
AT1G03070	744	0.459677	cellular_organisms
AT1G03080	5202	0.416186	Eukaryota
AT1G03090	2145	0.455944	cellular_organisms
AT1G03100	2382	0.414777	Viridiplantae
AT1G03103	516	0.472868	Embryophyta
AT1G03106	198	0.343434	Arabidopsis_thaliana
AT1G03110	1284	0.437695	cellular_organisms
AT1G03120	549	0.537341	Streptophyta
AT1G03130	615	0.478049	cellular_organisms
AT1G03140	1263	0.467142	Eukaryota
AT1G03150	525	0.415238	cellular_organisms
AT1G03160	2739	0.442132	cellular_organisms
AT1G03165	201	0.393035	Arabidopsis_thaliana
AT1G03170	723	0.449516	Magnoliophyta
AT1G03180	798	0.433584	Viridiplantae
AT1G03190	2277	0.440931	cellular_organisms
AT1G03200	126	0.412698	Arabidopsis_thaliana
AT1G03210	861	0.4518	cellular_organisms
AT1G03220	1302	0.511521	Viridiplantae
AT1G03230	1305	0.511111	Viridiplantae
AT1G03240	129	0.410853	Arabidopsis_thaliana
AT1G03250	738	0.455285	Eukaryota
AT1G03260	825	0.446061	cellular_organisms
AT1G03270	1500	0.441333	cellular_organisms
AT1G03280	1440	0.448611	cellular_organisms
AT1G03290	1716	0.410256	Streptophyta
AT1G03300	2013	0.434178	Embryophyta
AT1G03310	2649	0.423179	cellular_organisms
AT1G03320	663	0.45098	Brassicaceae
AT1G03325	126	0.31746	Arabidopsis_thaliana
AT1G03330	282	0.43617	cellular_organisms
AT1G03340	1158	0.425734	Magnoliophyta
AT1G03350	1413	0.443029	Eukaryota
AT1G03360	969	0.45614	cellular_organisms
AT1G03365	2472	0.421521	Eukaryota
AT1G03370	3063	0.433562	Eukaryota
AT1G03380	2880	0.436806	Eukaryota
AT1G03390	1386	0.428571	cellular_organisms
AT1G03395	168	0.39881	Arabidopsis_thaliana
AT1G03400	1056	0.476326	cellular_organisms
AT1G03410	1197	0.464495	cellular_organisms
AT1G03430	474	0.409283	cellular_organisms
AT1G03440	1194	0.505025	cellular_organisms
AT1G03445	2382	0.441646	cellular_organisms
AT1G03457	1290	0.444961	cellular_organisms
AT1G03470	810	0.423457	Tracheophyta
AT1G03475	1161	0.462532	cellular_organisms
AT1G03490	846	0.451537	Embryophyta
AT1G03495	1041	0.474544	Embryophyta
AT1G03510	1290	0.434884	cellular_organisms
AT1G03520	1344	0.427827	cellular_organisms
AT1G03530	2406	0.467165	Eukaryota
AT1G03540	1830	0.45847	Eukaryota
AT1G03550	852	0.447183	Eukaryota
AT1G03560	1983	0.415532	cellular_organisms
AT1G03590	1389	0.448524	cellular_organisms
AT1G03600	525	0.521905	Viridiplantae
AT1G03610	927	0.442287	Viridiplantae
AT1G03620	798	0.448622	Eukaryota
AT1G03630	1206	0.451907	cellular_organisms
AT1G03650	477	0.465409	cellular_organisms
AT1G03660	324	0.404321	Mesangiospermae
AT1G03670	1851	0.41329	cellular_organisms
AT1G03680	540	0.481481	cellular_organisms
AT1G03687	1146	0.470332	Eukaryota
AT1G03700	495	0.458586	Embryophyta
AT1G03710	609	0.482759	Brassicaceae
AT1G03720	825	0.419394	cellular_organisms
AT1G03730	504	0.46627	Magnoliophyta
AT1G03740	2223	0.430949	cellular_organisms
AT1G03750	2589	0.425261	cellular_organisms
AT1G03760	1176	0.441327	Eukaryota
AT1G03770	1383	0.430224	Eukaryota
AT1G03780	2064	0.432171	Viridiplantae
AT1G03790	1182	0.494078	Eukaryota
AT1G03800	738	0.51897	Viridiplantae
AT1G03810	432	0.479167	cellular_organisms
AT1G03820	669	0.427504	Pentapetalae
AT1G03830	2976	0.440524	Eukaryota
AT1G03840	1521	0.460224	Eukaryota
AT1G03850	453	0.421634	Eukaryota
AT1G03860	861	0.471545	cellular_organisms
AT1G03870	744	0.487903	cellular_organisms
AT1G03880	1368	0.511696	Streptophyta
AT1G03890	1356	0.498525	Streptophyta
AT1G03900	819	0.504274	Eukaryota
AT1G03905	873	0.45819	cellular_organisms
AT1G03910	2019	0.457157	Eukaryota
AT1G03920	1710	0.42807	cellular_organisms
AT1G03930	1416	0.44774	cellular_organisms
AT1G03940	1410	0.462411	Embryophyta
AT1G03950	633	0.447077	Eukaryota
AT1G03960	1590	0.419497	Eukaryota
AT1G03970	813	0.469865	Eukaryota
AT1G03980	1359	0.415747	cellular_organisms
AT1G03982	534	0.410112	Embryophyta
AT1G03990	2277	0.460694	cellular_organisms
AT1G04000	459	0.553377	Magnoliophyta
AT1G04010	1902	0.445321	Eukaryota
AT1G04020	2142	0.434641	Eukaryota
AT1G04030	1305	0.429885	Streptophytina
AT1G04040	816	0.470588	cellular_organisms
AT1G04050	2205	0.441723	cellular_organisms
AT1G04070	285	0.536842	Viridiplantae
AT1G04080	2307	0.460772	Eukaryota
AT1G04090	1719	0.4363	cellular_organisms
AT1G04100	786	0.455471	Streptophytina
AT1G04105	402	0.470149	Arabidopsis_thaliana
AT1G04110	2328	0.457474	cellular_organisms
AT1G04120	4545	0.425303	cellular_organisms
AT1G04130	1083	0.445983	cellular_organisms
AT1G04140	2373	0.454699	cellular_organisms
AT1G04150	3039	0.460349	Eukaryota
AT1G04160	4503	0.419942	Eukaryota
AT1G04170	1398	0.438484	cellular_organisms
AT1G04180	1266	0.472354	cellular_organisms
AT1G04190	987	0.43465	cellular_organisms
AT1G04200	2199	0.422465	Eukaryota
AT1G04210	3339	0.42348	cellular_organisms
AT1G04220	1587	0.455577	cellular_organisms
AT1G04230	978	0.448875	Eukaryota
AT1G04240	570	0.401754	Viridiplantae
AT1G04250	690	0.492754	Streptophytina
AT1G04260	549	0.508197	Eukaryota
AT1G04270	459	0.472767	cellular_organisms
AT1G04280	1605	0.447352	Eukaryota
AT1G04290	468	0.463675	cellular_organisms
AT1G04300	3225	0.448372	Eukaryota
AT1G04310	1938	0.470588	cellular_organisms
AT1G04330	303	0.544554	Magnoliophyta
AT1G04340	480	0.447917	Viridiplantae
AT1G04350	1083	0.435826	cellular_organisms
AT1G04360	1146	0.458115	Eukaryota
AT1G04370	402	0.5	Viridiplantae
AT1G04380	1038	0.439306	cellular_organisms
AT1G04390	3009	0.433034	Streptophyta
AT1G04400	1839	0.445895	cellular_organisms
AT1G04410	999	0.488488	cellular_organisms
AT1G04420	1239	0.45117	cellular_organisms
AT1G04430	1872	0.440705	cellular_organisms
AT1G04440	1407	0.443497	cellular_organisms
AT1G04445	519	0.533719	Brassicaceae
AT1G04450	663	0.457014	Embryophyta
AT1G04455	354	0.398305	Arabidopsis_thaliana
AT1G04470	3108	0.46686	Viridiplantae
AT1G04480	423	0.489362	cellular_organisms
AT1G04490	1206	0.395522	Tracheophyta
AT1G04500	1161	0.428941	Eukaryota
AT1G04510	1572	0.449746	cellular_organisms
AT1G04520	924	0.437229	Tracheophyta
AT1G04530	933	0.429796	cellular_organisms
AT1G04540	1806	0.460133	Embryophyta
AT1G04550	720	0.461111	Streptophytina
AT1G04555	459	0.464052	Embryophyta
AT1G04560	561	0.472371	Streptophyta
AT1G04570	1629	0.440761	Eukaryota
AT1G04580	4014	0.433981	cellular_organisms
AT1G04590	1146	0.43281	Streptophytina
AT1G04600	5193	0.418448	Eukaryota
AT1G04610	1314	0.461948	cellular_organisms
AT1G04620	1389	0.442765	cellular_organisms
AT1G04625	774	0.419897	Embryophyta
AT1G04630	432	0.509259	Eukaryota
AT1G04635	456	0.421053	Eukaryota
AT1G04640	708	0.429379	cellular_organisms
AT1G04645	387	0.421189	Embryophyta
AT1G04650	2994	0.417502	Streptophyta
AT1G04660	639	0.56964	Brassicaceae
AT1G04670	381	0.448819	Magnoliophyta
AT1G04680	1296	0.486883	cellular_organisms
AT1G04690	987	0.467072	cellular_organisms
AT1G04700	3129	0.417705	cellular_organisms
AT1G04710	1332	0.478979	cellular_organisms
AT1G04730	2172	0.41989	cellular_organisms
AT1G04750	660	0.437879	Eukaryota
AT1G04760	663	0.440422	Eukaryota
AT1G04770	912	0.444079	cellular_organisms
AT1G04778	171	0.555556	Arabidopsis_thaliana
AT1G04780	1995	0.451629	Eukaryota
AT1G04790	1905	0.438845	Eukaryota
AT1G04800	603	0.532338	cellular_organisms
AT1G04810	3006	0.461411	Eukaryota
AT1G04820	1353	0.485588	Eukaryota
AT1G04830	1347	0.455085	Eukaryota
AT1G04840	1998	0.416917	Eukaryota
AT1G04850	1242	0.466989	Eukaryota
AT1G04860	2886	0.430353	Eukaryota
AT1G04870	1152	0.455729	cellular_organisms
AT1G04880	1347	0.449146	Eukaryota
AT1G04890	1236	0.417476	Streptophytina
AT1G04895	246	0.414634	Arabidopsis_thaliana
AT1G04900	1329	0.423627	cellular_organisms
AT1G04910	1560	0.446154	Streptophyta
AT1G04920	3189	0.462527	cellular_organisms
AT1G04930	999	0.497497	Embryophyta
AT1G04940	825	0.465455	Viridiplantae
AT1G04945	1104	0.42663	Eukaryota
AT1G04950	1650	0.427879	Eukaryota
AT1G04960	954	0.438155	Viridiplantae
AT1G04970	1467	0.415815	Eukaryota
AT1G04980	1344	0.438244	cellular_organisms
AT1G04985	582	0.469072	Streptophyta
AT1G04990	1215	0.460905	Eukaryota
AT1G05000	648	0.464506	cellular_organisms
AT1G05005	684	0.422515	Mesangiospermae
AT1G05010	972	0.466049	cellular_organisms
AT1G05020	1962	0.476045	Eukaryota
AT1G05030	1575	0.447619	cellular_organisms
AT1G05035	363	0.363636	Arabidopsis_thaliana
AT1G05040	501	0.443114	rosids
AT1G05055	1266	0.458926	Eukaryota
AT1G05060	762	0.452756	Streptophyta
AT1G05065	252	0.43254	rosids
AT1G05070	555	0.49009	Tracheophyta
AT1G05080	1320	0.423485	Magnoliophyta
AT1G05085	375	0.408	Arabidopsis_thaliana
AT1G05087	798	0.453634	Mesangiospermae
AT1G05090	1212	0.408416	Mesangiospermae
AT1G05100	1020	0.510784	cellular_organisms
AT1G05120	2502	0.432054	cellular_organisms
AT1G05136	141	0.446809	Arabidopsis_thaliana
AT1G05140	1326	0.42911	cellular_organisms
AT1G05150	2427	0.442934	cellular_organisms
AT1G05160	1473	0.433809	cellular_organisms
AT1G05170	1086	0.428177	Eukaryota
AT1G05180	1623	0.428835	cellular_organisms
AT1G05190	672	0.456845	cellular_organisms
AT1G05200	2880	0.444792	cellular_organisms
AT1G05205	276	0.503623	Viridiplantae
AT1G05210	507	0.473373	Eukaryota
AT1G05220	483	0.449275	Eukaryota
AT1G05230	2166	0.45891	Eukaryota
AT1G05240	978	0.486708	Eukaryota
AT1G05250	978	0.486708	Eukaryota
AT1G05260	981	0.457696	Eukaryota
AT1G05270	1116	0.455197	cellular_organisms
AT1G05280	1476	0.452575	Streptophyta
AT1G05290	1110	0.381982	Eukaryota
AT1G05291	615	0.43252	Magnoliophyta
AT1G05300	1083	0.486611	Eukaryota
AT1G05310	1182	0.44247	cellular_organisms
AT1G05320	2373	0.39233	Eukaryota
AT1G05330	414	0.437198	Brassicaceae
AT1G05340	219	0.525114	Mesangiospermae
AT1G05350	1296	0.449846	cellular_organisms
AT1G05360	1251	0.418865	cellular_organisms
AT1G05370	1254	0.4689	Eukaryota
AT1G05380	3417	0.426397	Eukaryota
AT1G05385	600	0.42	Viridiplantae
AT1G05400	399	0.488722	Camelineae
AT1G05410	1416	0.443503	Streptophyta
AT1G05420	681	0.525698	Embryophyta
AT1G05430	810	0.44321	Magnoliophyta
AT1G05440	1182	0.42978	Tracheophyta
AT1G05450	618	0.475728	Tracheophyta
AT1G05460	3009	0.435693	cellular_organisms
AT1G05470	1854	0.448759	cellular_organisms
AT1G05490	4233	0.425939	cellular_organisms
AT1G05500	1683	0.441474	Eukaryota
AT1G05510	726	0.487603	cellular_organisms
AT1G05520	2352	0.45068	Eukaryota
AT1G05530	1368	0.459064	cellular_organisms
AT1G05540	1104	0.459239	malvids
AT1G05550	711	0.468354	Mesangiospermae
AT1G05560	1410	0.459574	cellular_organisms
AT1G05570	5853	0.428157	Eukaryota
AT1G05575	270	0.459259	Magnoliophyta
AT1G05577	1119	0.452189	Embryophyta
AT1G05580	2604	0.478111	cellular_organisms
AT1G05590	1743	0.445783	cellular_organisms
AT1G05600	1515	0.419802	Eukaryota
AT1G05610	1431	0.4116	cellular_organisms
AT1G05615	519	0.450867	Mesangiospermae
AT1G05620	969	0.437564	cellular_organisms
AT1G05630	3513	0.469399	cellular_organisms
AT1G05640	1884	0.440552	cellular_organisms
AT1G05650	1185	0.491139	cellular_organisms
AT1G05660	1185	0.484388	cellular_organisms
AT1G05670	2226	0.398023	Eukaryota
AT1G05675	1362	0.43906	cellular_organisms
AT1G05680	1362	0.449339	cellular_organisms
AT1G05690	1095	0.430137	Eukaryota
AT1G05700	2559	0.427511	cellular_organisms
AT1G05710	450	0.464444	Streptophytina
AT1G05720	492	0.426829	Eukaryota
AT1G05730	450	0.44	Eukaryota
AT1G05740	438	0.43379	Eukaryota
AT1G05750	1503	0.441118	Eukaryota
AT1G05760	525	0.445714	Magnoliophyta
AT1G05770	555	0.436036	Embryophyta
AT1G05780	321	0.426791	Eukaryota
AT1G05783	336	0.369048	Arabidopsis_thaliana
AT1G05785	408	0.414216	Eukaryota
AT1G05790	2064	0.443798	Eukaryota
AT1G05800	1416	0.451977	cellular_organisms
AT1G05805	1089	0.487603	Streptophyta
AT1G05810	657	0.482496	cellular_organisms
AT1G05820	1611	0.435133	cellular_organisms
AT1G05830	3252	0.439422	cellular_organisms
AT1G05835	384	0.486979	Embryophyta
AT1G05840	1458	0.427298	Eukaryota
AT1G05850	966	0.482402	cellular_organisms
AT1G05860	843	0.443654	Eukaryota
AT1G05870	570	0.485965	Embryophyta
AT1G05880	1470	0.426531	Eukaryota
AT1G05890	1659	0.443038	Eukaryota
AT1G05894	1374	0.405386	Mesangiospermae
AT1G05900	945	0.430688	cellular_organisms
AT1G05910	3633	0.453895	cellular_organisms
AT1G05920	948	0.440928	Magnoliophyta
AT1G05930	957	0.45768	Magnoliophyta
AT1G05940	1710	0.472515	cellular_organisms
AT1G05950	1884	0.424628	Magnoliophyta
AT1G05960	2949	0.420821	Eukaryota
AT1G05970	597	0.474037	Streptophyta
AT1G05990	453	0.448124	cellular_organisms
AT1G06000	1308	0.506881	Viridiplantae
AT1G06010	237	0.451477	Magnoliophyta
AT1G06020	1038	0.481696	cellular_organisms
AT1G06030	990	0.475758	cellular_organisms
AT1G06040	747	0.457831	Eukaryota
AT1G06045	267	0.47191	Arabidopsis_thaliana
AT1G06050	942	0.442675	Eukaryota
AT1G06060	642	0.419003	Eukaryota
AT1G06070	1272	0.455975	Viridiplantae
AT1G06080	918	0.462963	cellular_organisms
AT1G06090	900	0.474444	cellular_organisms
AT1G06100	900	0.448889	cellular_organisms
AT1G06110	1311	0.456903	cellular_organisms
AT1G06120	900	0.466667	cellular_organisms
AT1G06130	996	0.442771	cellular_organisms
AT1G06135	210	0.485714	Magnoliophyta
AT1G06137	207	0.502415	Magnoliophyta
AT1G06140	1677	0.424568	Eukaryota
AT1G06143	1734	0.429066	Eukaryota
AT1G06148	228	0.442982	Arabidopsis_thaliana
AT1G06150	2205	0.431746	Streptophyta
AT1G06160	735	0.45034	Viridiplantae
AT1G06170	1263	0.435471	Streptophyta
AT1G06180	741	0.417004	Eukaryota
AT1G06190	1206	0.437811	Embryophyta
AT1G06200	621	0.436393	cellular_organisms
AT1G06210	1152	0.436632	Eukaryota
AT1G06220	2964	0.446356	cellular_organisms
AT1G06225	252	0.460317	Mesangiospermae
AT1G06230	2301	0.440243	Eukaryota
AT1G06240	1152	0.478299	cellular_organisms
AT1G06250	1272	0.448899	cellular_organisms
AT1G06260	1032	0.455426	cellular_organisms
AT1G06270	1032	0.443798	Viridiplantae
AT1G06280	621	0.426731	Streptophyta
AT1G06290	2028	0.449211	cellular_organisms
AT1G06310	2028	0.440335	cellular_organisms
AT1G06320	588	0.416667	Mesangiospermae
AT1G06330	453	0.487859	cellular_organisms
AT1G06340	405	0.488889	Viridiplantae
AT1G06350	903	0.456257	cellular_organisms
AT1G06360	900	0.452222	cellular_organisms
AT1G06380	765	0.448366	Eukaryota
AT1G06390	1224	0.445261	cellular_organisms
AT1G06400	651	0.465438	cellular_organisms
AT1G06410	2556	0.437402	cellular_organisms
AT1G06420	666	0.418919	malvids
AT1G06430	2058	0.458698	cellular_organisms
AT1G06440	1173	0.45098	Streptophytina
AT1G06450	1083	0.473684	Eukaryota
AT1G06460	858	0.454545	cellular_organisms
AT1G06470	1245	0.409639	Eukaryota
AT1G06475	282	0.457447	Magnoliophyta
AT1G06490	5877	0.421644	Eukaryota
AT1G06500	411	0.452555	Embryophyta
AT1G06510	834	0.431655	Streptophyta
AT1G06515	171	0.415205	Streptophyta
AT1G06520	1758	0.435722	cellular_organisms
AT1G06530	972	0.484568	cellular_organisms
AT1G06540	378	0.492063	rosids
AT1G06550	1164	0.437285	cellular_organisms
AT1G06560	1800	0.453889	cellular_organisms
AT1G06570	1338	0.492526	cellular_organisms
AT1G06580	1185	0.398312	cellular_organisms
AT1G06590	2751	0.434751	Eukaryota
AT1G06620	1098	0.467213	cellular_organisms
AT1G06630	1434	0.435844	Tracheophyta
AT1G06640	1110	0.463964	cellular_organisms
AT1G06645	1140	0.44386	cellular_organisms
AT1G06650	945	0.457143	cellular_organisms
AT1G06660	1446	0.444675	Streptophyta
AT1G06670	4731	0.435637	cellular_organisms
AT1G06680	792	0.501263	cellular_organisms
AT1G06690	1134	0.472663	cellular_organisms
AT1G06700	1086	0.447514	cellular_organisms
AT1G06710	2994	0.401804	Eukaryota
AT1G06720	3444	0.41957	Eukaryota
AT1G06730	1467	0.460804	cellular_organisms
AT1G06740	2181	0.442458	Eukaryota
AT1G06750	1560	0.448718	Eukaryota
AT1G06760	825	0.506667	Eukaryota
AT1G06770	1266	0.43049	Eukaryota
AT1G06780	1770	0.422599	cellular_organisms
AT1G06790	615	0.44065	cellular_organisms
AT1G06800	1548	0.5323	cellular_organisms
AT1G06810	609	0.448276	Tracheophyta
AT1G06820	1788	0.434004	cellular_organisms
AT1G06830	300	0.466667	Eukaryota
AT1G06840	2862	0.431167	cellular_organisms
AT1G06850	1014	0.480276	Eukaryota
AT1G06870	1104	0.461957	cellular_organisms
