ID	PS	Len	GC
AT1G01930	Eukaryota	1743	0.452668
AT1G01940	cellular_organisms	483	0.463768
AT1G01950	Eukaryota	2685	0.451024
AT1G01960	Eukaryota	5253	0.450029
AT1G01970	Eukaryota	1230	0.434959
AT1G01980	cellular_organisms	1626	0.509225
AT1G01990	Mesangiospermae	738	0.5
AT1G02000	cellular_organisms	1305	0.532567
AT1G02010	Eukaryota	2022	0.446588
AT1G02020	cellular_organisms	1929	0.502333
AT1G02030	Streptophyta	804	0.475124
AT1G02040	Streptophyta	975	0.471795
AT1G02050	cellular_organisms	1188	0.505892
AT1G02060	Eukaryota	2133	0.440225
AT1G02065	Viridiplantae	1002	0.55489
AT1G02067	Arabidopsis_thaliana	222	0.459459
AT1G02070	Embryophyta	396	0.517677
AT1G02080	Eukaryota	7296	0.43051
AT1G02090	Eukaryota	783	0.472542
AT1G02100	Eukaryota	999	0.428428
AT1G02110	Embryophyta	2112	0.539773
AT1G02120	Eukaryota	1797	0.449082
AT1G02130	cellular_organisms	612	0.424837
AT1G02140	Eukaryota	453	0.461369
AT1G02145	cellular_organisms	1482	0.412955
AT1G02150	Eukaryota	1575	0.492063
AT1G02160	Viridiplantae	216	0.476852
AT1G02170	cellular_organisms	1104	0.519928
AT1G02180	Tracheophyta	681	0.469897
AT1G02190	cellular_organisms	1884	0.514862
AT1G02205	cellular_organisms	1878	0.482428
AT1G02210	Streptophytina	264	0.344697
AT1G02220	Streptophytina	1185	0.419409
AT1G02230	Streptophytina	1080	0.413889
AT1G02250	Streptophytina	1089	0.419651
AT1G02260	cellular_organisms	1509	0.455268
AT1G02270	Eukaryota	1455	0.41512
AT1G02280	cellular_organisms	894	0.427293
AT1G02290	Eukaryota	1332	0.422673
AT1G02300	cellular_organisms	1140	0.422807
AT1G02305	cellular_organisms	1089	0.426997
AT1G02310	cellular_organisms	1236	0.444175
AT1G02320	Arabidopsis_thaliana	147	0.367347
AT1G02330	Eukaryota	840	0.436905
AT1G02335	cellular_organisms	660	0.459091
AT1G02340	Streptophyta	879	0.409556
AT1G02350	Arabidopsis_thaliana	423	0.439716
AT1G02360	cellular_organisms	819	0.472527
AT1G02370	Eukaryota	1614	0.439281
AT1G02380	Magnoliophyta	696	0.431034
AT1G02390	cellular_organisms	1593	0.443189
AT1G02400	cellular_organisms	990	0.459596
AT1G02405	Brassicaceae	405	0.520988
AT1G02410	cellular_organisms	864	0.425926
AT1G02420	Eukaryota	1476	0.405827
AT1G02430	cellular_organisms	573	0.438045
AT1G02440	cellular_organisms	573	0.438045
AT1G02450	Pentapetalae	429	0.41958
AT1G02460	cellular_organisms	1476	0.46206
AT1G02470	cellular_organisms	663	0.401207
AT1G02475	cellular_organisms	660	0.419697
AT1G02490	Arabidopsis_thaliana	117	0.452991
AT1G02500	cellular_organisms	1182	0.500846
AT1G02510	cellular_organisms	855	0.444444
AT1G02520	cellular_organisms	3837	0.448527
AT1G02530	cellular_organisms	3822	0.448456
AT1G02540	Brassicaceae	873	0.413517
AT1G02550	Embryophyta	729	0.507545
AT1G02560	cellular_organisms	897	0.455964
AT1G02570	Mesangiospermae	837	0.445639
AT1G02575	Mesangiospermae	831	0.438026
AT1G02580	cellular_organisms	2070	0.419807
AT1G02590	cellular_organisms	270	0.425926
AT1G02610	Eukaryota	666	0.373874
AT1G02620	Eukaryota	369	0.433604
AT1G02630	Eukaryota	1170	0.44188
AT1G02640	cellular_organisms	2307	0.494582
AT1G02650	Viridiplantae	1542	0.46952
AT1G02660	cellular_organisms	2142	0.451914
AT1G02670	cellular_organisms	2037	0.439863
AT1G02680	Eukaryota	381	0.446194
AT1G02690	Eukaryota	1617	0.461348
AT1G02700	Magnoliophyta	744	0.502688
AT1G02705	Brassicaceae	426	0.523474
AT1G02710	Arabidopsis_thaliana	291	0.601375
AT1G02720	cellular_organisms	1086	0.46593
AT1G02730	cellular_organisms	3546	0.456571
AT1G02740	Eukaryota	984	0.429878
AT1G02750	Streptophyta	666	0.403904
AT1G02770	Pentapetalae	951	0.451104
AT1G02780	cellular_organisms	645	0.500775
AT1G02790	cellular_organisms	1269	0.461781
AT1G02800	cellular_organisms	1506	0.472776
AT1G02810	cellular_organisms	1740	0.468966
AT1G02813	Streptophyta	450	0.464444
AT1G02816	Streptophyta	501	0.443114
AT1G02820	Magnoliophyta	276	0.521739
AT1G02830	Eukaryota	384	0.432292
AT1G02840	cellular_organisms	819	0.504274
AT1G02850	cellular_organisms	1413	0.441614
AT1G02860	Eukaryota	1008	0.423611
AT1G02870	Eukaryota	582	0.463918
AT1G02880	cellular_organisms	594	0.407407
AT1G02890	cellular_organisms	3741	0.442662
AT1G02900	Embryophyta	363	0.473829
AT1G02910	cellular_organisms	1362	0.468429
AT1G02920	cellular_organisms	630	0.44127
AT1G02930	cellular_organisms	627	0.443381
AT1G02940	cellular_organisms	771	0.439689
AT1G02950	cellular_organisms	732	0.422131
AT1G02960	Streptophyta	1416	0.415254
AT1G02965	Brassicaceae	489	0.441718
AT1G02970	cellular_organisms	1503	0.429807
AT1G02980	Eukaryota	2229	0.425751
AT1G02990	Streptophyta	3717	0.40382
AT1G03000	cellular_organisms	2826	0.440906
AT1G03010	Eukaryota	1905	0.414698
AT1G03020	cellular_organisms	309	0.456311
AT1G03030	cellular_organisms	906	0.434879
AT1G03040	Eukaryota	909	0.486249
AT1G03050	Eukaryota	1800	0.455556
AT1G03055	Viridiplantae	795	0.418868
AT1G03060	cellular_organisms	10806	0.429299
AT1G03070	cellular_organisms	744	0.459677
AT1G03080	Eukaryota	5202	0.416186
AT1G03090	cellular_organisms	2145	0.455944
AT1G03100	Viridiplantae	2382	0.414777
AT1G03103	Embryophyta	516	0.472868
AT1G03106	Arabidopsis_thaliana	198	0.343434
AT1G03110	cellular_organisms	1284	0.437695
AT1G03120	Streptophyta	549	0.537341
AT1G03130	cellular_organisms	615	0.478049
AT1G03140	Eukaryota	1263	0.467142
AT1G03150	cellular_organisms	525	0.415238
AT1G03160	cellular_organisms	2739	0.442132
AT1G03165	Arabidopsis_thaliana	201	0.393035
AT1G03170	Magnoliophyta	723	0.449516
AT1G03180	Viridiplantae	798	0.433584
AT1G03190	cellular_organisms	2277	0.440931
AT1G03200	Arabidopsis_thaliana	126	0.412698
AT1G03210	cellular_organisms	861	0.4518
AT1G03220	Viridiplantae	1302	0.511521
AT1G03230	Viridiplantae	1305	0.511111
AT1G03240	Arabidopsis_thaliana	129	0.410853
AT1G03250	Eukaryota	738	0.455285
AT1G03260	cellular_organisms	825	0.446061
AT1G03270	cellular_organisms	1500	0.441333
AT1G03280	cellular_organisms	1440	0.448611
AT1G03290	Streptophyta	1716	0.410256
AT1G03300	Embryophyta	2013	0.434178
AT1G03310	cellular_organisms	2649	0.423179
AT1G03320	Brassicaceae	663	0.45098
AT1G03325	Arabidopsis_thaliana	126	0.31746
AT1G03330	cellular_organisms	282	0.43617
AT1G03340	Magnoliophyta	1158	0.425734
AT1G03350	Eukaryota	1413	0.443029
AT1G03360	cellular_organisms	969	0.45614
AT1G03365	Eukaryota	2472	0.421521
AT1G03370	Eukaryota	3063	0.433562
AT1G03380	Eukaryota	2880	0.436806
AT1G03390	cellular_organisms	1386	0.428571
AT1G03395	Arabidopsis_thaliana	168	0.39881
AT1G03400	cellular_organisms	1056	0.476326
AT1G03410	cellular_organisms	1197	0.464495
AT1G03430	cellular_organisms	474	0.409283
AT1G03440	cellular_organisms	1194	0.505025
AT1G03445	cellular_organisms	2382	0.441646
AT1G03457	cellular_organisms	1290	0.444961
AT1G03470	Tracheophyta	810	0.423457
AT1G03475	cellular_organisms	1161	0.462532
AT1G03490	Embryophyta	846	0.451537
AT1G03495	Embryophyta	1041	0.474544
AT1G03510	cellular_organisms	1290	0.434884
AT1G03520	cellular_organisms	1344	0.427827
AT1G03530	Eukaryota	2406	0.467165
AT1G03540	Eukaryota	1830	0.45847
AT1G03550	Eukaryota	852	0.447183
AT1G03560	cellular_organisms	1983	0.415532
AT1G03590	cellular_organisms	1389	0.448524
AT1G03600	Viridiplantae	525	0.521905
AT1G03610	Viridiplantae	927	0.442287
AT1G03620	Eukaryota	798	0.448622
AT1G03630	cellular_organisms	1206	0.451907
AT1G03650	cellular_organisms	477	0.465409
AT1G03660	Mesangiospermae	324	0.404321
AT1G03670	cellular_organisms	1851	0.41329
AT1G03680	cellular_organisms	540	0.481481
AT1G03687	Eukaryota	1146	0.470332
AT1G03700	Embryophyta	495	0.458586
AT1G03710	Brassicaceae	609	0.482759
AT1G03720	cellular_organisms	825	0.419394
AT1G03730	Magnoliophyta	504	0.46627
AT1G03740	cellular_organisms	2223	0.430949
AT1G03750	cellular_organisms	2589	0.425261
AT1G03760	Eukaryota	1176	0.441327
AT1G03770	Eukaryota	1383	0.430224
AT1G03780	Viridiplantae	2064	0.432171
AT1G03790	Eukaryota	1182	0.494078
AT1G03800	Viridiplantae	738	0.51897
AT1G03810	cellular_organisms	432	0.479167
AT1G03820	Pentapetalae	669	0.427504
AT1G03830	Eukaryota	2976	0.440524
AT1G03840	Eukaryota	1521	0.460224
AT1G03850	Eukaryota	453	0.421634
AT1G03860	cellular_organisms	861	0.471545
AT1G03870	cellular_organisms	744	0.487903
AT1G03880	Streptophyta	1368	0.511696
AT1G03890	Streptophyta	1356	0.498525
AT1G03900	Eukaryota	819	0.504274
AT1G03905	cellular_organisms	873	0.45819
AT1G03910	Eukaryota	2019	0.457157
AT1G03920	cellular_organisms	1710	0.42807
AT1G03930	cellular_organisms	1416	0.44774
AT1G03940	Embryophyta	1410	0.462411
AT1G03950	Eukaryota	633	0.447077
AT1G03960	Eukaryota	1590	0.419497
AT1G03970	Eukaryota	813	0.469865
AT1G03980	cellular_organisms	1359	0.415747
AT1G03982	Embryophyta	534	0.410112
AT1G03990	cellular_organisms	2277	0.460694
AT1G04000	Magnoliophyta	459	0.553377
AT1G04010	Eukaryota	1902	0.445321
AT1G04020	Eukaryota	2142	0.434641
AT1G04030	Streptophytina	1305	0.429885
AT1G04040	cellular_organisms	816	0.470588
AT1G04050	cellular_organisms	2205	0.441723
AT1G04070	Viridiplantae	285	0.536842
AT1G04080	Eukaryota	2307	0.460772
AT1G04090	cellular_organisms	1719	0.4363
AT1G04100	Streptophytina	786	0.455471
AT1G04105	Arabidopsis_thaliana	402	0.470149
AT1G04110	cellular_organisms	2328	0.457474
AT1G04120	cellular_organisms	4545	0.425303
AT1G04130	cellular_organisms	1083	0.445983
AT1G04140	cellular_organisms	2373	0.454699
AT1G04150	Eukaryota	3039	0.460349
AT1G04160	Eukaryota	4503	0.419942
AT1G04170	cellular_organisms	1398	0.438484
AT1G04180	cellular_organisms	1266	0.472354
AT1G04190	cellular_organisms	987	0.43465
AT1G04200	Eukaryota	2199	0.422465
AT1G04210	cellular_organisms	3339	0.42348
AT1G04220	cellular_organisms	1587	0.455577
AT1G04230	Eukaryota	978	0.448875
AT1G04240	Viridiplantae	570	0.401754
AT1G04250	Streptophytina	690	0.492754
AT1G04260	Eukaryota	549	0.508197
AT1G04270	cellular_organisms	459	0.472767
AT1G04280	Eukaryota	1605	0.447352
AT1G04290	cellular_organisms	468	0.463675
AT1G04300	Eukaryota	3225	0.448372
AT1G04310	cellular_organisms	1938	0.470588
AT1G04330	Magnoliophyta	303	0.544554
AT1G04340	Viridiplantae	480	0.447917
AT1G04350	cellular_organisms	1083	0.435826
AT1G04360	Eukaryota	1146	0.458115
AT1G04370	Viridiplantae	402	0.5
AT1G04380	cellular_organisms	1038	0.439306
AT1G04390	Streptophyta	3009	0.433034
AT1G04400	cellular_organisms	1839	0.445895
AT1G04410	cellular_organisms	999	0.488488
AT1G04420	cellular_organisms	1239	0.45117
AT1G04430	cellular_organisms	1872	0.440705
AT1G04440	cellular_organisms	1407	0.443497
AT1G04445	Brassicaceae	519	0.533719
AT1G04450	Embryophyta	663	0.457014
AT1G04455	Arabidopsis_thaliana	354	0.398305
AT1G04470	Viridiplantae	3108	0.46686
AT1G04480	cellular_organisms	423	0.489362
AT1G04490	Tracheophyta	1206	0.395522
AT1G04500	Eukaryota	1161	0.428941
AT1G04510	cellular_organisms	1572	0.449746
AT1G04520	Tracheophyta	924	0.437229
AT1G04530	cellular_organisms	933	0.429796
AT1G04540	Embryophyta	1806	0.460133
AT1G04550	Streptophytina	720	0.461111
AT1G04555	Embryophyta	459	0.464052
AT1G04560	Streptophyta	561	0.472371
AT1G04570	Eukaryota	1629	0.440761
AT1G04580	cellular_organisms	4014	0.433981
AT1G04590	Streptophytina	1146	0.43281
AT1G04600	Eukaryota	5193	0.418448
AT1G04610	cellular_organisms	1314	0.461948
AT1G04620	cellular_organisms	1389	0.442765
AT1G04625	Embryophyta	774	0.419897
AT1G04630	Eukaryota	432	0.509259
AT1G04635	Eukaryota	456	0.421053
AT1G04640	cellular_organisms	708	0.429379
AT1G04645	Embryophyta	387	0.421189
AT1G04650	Streptophyta	2994	0.417502
AT1G04660	Brassicaceae	639	0.56964
AT1G04670	Magnoliophyta	381	0.448819
AT1G04680	cellular_organisms	1296	0.486883
AT1G04690	cellular_organisms	987	0.467072
AT1G04700	cellular_organisms	3129	0.417705
AT1G04710	cellular_organisms	1332	0.478979
AT1G04730	cellular_organisms	2172	0.41989
AT1G04750	Eukaryota	660	0.437879
AT1G04760	Eukaryota	663	0.440422
AT1G04770	cellular_organisms	912	0.444079
AT1G04778	Arabidopsis_thaliana	171	0.555556
AT1G04780	Eukaryota	1995	0.451629
AT1G04790	Eukaryota	1905	0.438845
AT1G04800	cellular_organisms	603	0.532338
AT1G04810	Eukaryota	3006	0.461411
AT1G04820	Eukaryota	1353	0.485588
AT1G04830	Eukaryota	1347	0.455085
AT1G04840	Eukaryota	1998	0.416917
AT1G04850	Eukaryota	1242	0.466989
AT1G04860	Eukaryota	2886	0.430353
AT1G04870	cellular_organisms	1152	0.455729
AT1G04880	Eukaryota	1347	0.449146
AT1G04890	Streptophytina	1236	0.417476
AT1G04895	Arabidopsis_thaliana	246	0.414634
AT1G04900	cellular_organisms	1329	0.423627
AT1G04910	Streptophyta	1560	0.446154
AT1G04920	cellular_organisms	3189	0.462527
AT1G04930	Embryophyta	999	0.497497
AT1G04940	Viridiplantae	825	0.465455
AT1G04945	Eukaryota	1104	0.42663
AT1G04950	Eukaryota	1650	0.427879
AT1G04960	Viridiplantae	954	0.438155
AT1G04970	Eukaryota	1467	0.415815
AT1G04980	cellular_organisms	1344	0.438244
AT1G04985	Streptophyta	582	0.469072
AT1G04990	Eukaryota	1215	0.460905
AT1G05000	cellular_organisms	648	0.464506
AT1G05005	Mesangiospermae	684	0.422515
AT1G05010	cellular_organisms	972	0.466049
AT1G05020	Eukaryota	1962	0.476045
AT1G05030	cellular_organisms	1575	0.447619
AT1G05035	Arabidopsis_thaliana	363	0.363636
AT1G05040	rosids	501	0.443114
AT1G05055	Eukaryota	1266	0.458926
AT1G05060	Streptophyta	762	0.452756
AT1G05065	rosids	252	0.43254
AT1G05070	Tracheophyta	555	0.49009
AT1G05080	Magnoliophyta	1320	0.423485
AT1G05085	Arabidopsis_thaliana	375	0.408
AT1G05087	Mesangiospermae	798	0.453634
AT1G05090	Mesangiospermae	1212	0.408416
AT1G05100	cellular_organisms	1020	0.510784
AT1G05120	cellular_organisms	2502	0.432054
AT1G05136	Arabidopsis_thaliana	141	0.446809
AT1G05140	cellular_organisms	1326	0.42911
AT1G05150	cellular_organisms	2427	0.442934
AT1G05160	cellular_organisms	1473	0.433809
AT1G05170	Eukaryota	1086	0.428177
AT1G05180	cellular_organisms	1623	0.428835
AT1G05190	cellular_organisms	672	0.456845
AT1G05200	cellular_organisms	2880	0.444792
AT1G05205	Viridiplantae	276	0.503623
AT1G05210	Eukaryota	507	0.473373
AT1G05220	Eukaryota	483	0.449275
AT1G05230	Eukaryota	2166	0.45891
AT1G05240	Eukaryota	978	0.486708
AT1G05250	Eukaryota	978	0.486708
AT1G05260	Eukaryota	981	0.457696
AT1G05270	cellular_organisms	1116	0.455197
AT1G05280	Streptophyta	1476	0.452575
AT1G05290	Eukaryota	1110	0.381982
AT1G05291	Magnoliophyta	615	0.43252
AT1G05300	Eukaryota	1083	0.486611
AT1G05310	cellular_organisms	1182	0.44247
AT1G05320	Eukaryota	2373	0.39233
AT1G05330	Brassicaceae	414	0.437198
AT1G05340	Mesangiospermae	219	0.525114
AT1G05350	cellular_organisms	1296	0.449846
AT1G05360	cellular_organisms	1251	0.418865
AT1G05370	Eukaryota	1254	0.4689
AT1G05380	Eukaryota	3417	0.426397
AT1G05385	Viridiplantae	600	0.42
AT1G05400	Camelineae	399	0.488722
AT1G05410	Streptophyta	1416	0.443503
AT1G05420	Embryophyta	681	0.525698
AT1G05430	Magnoliophyta	810	0.44321
AT1G05440	Tracheophyta	1182	0.42978
AT1G05450	Tracheophyta	618	0.475728
AT1G05460	cellular_organisms	3009	0.435693
AT1G05470	cellular_organisms	1854	0.448759
AT1G05490	cellular_organisms	4233	0.425939
AT1G05500	Eukaryota	1683	0.441474
AT1G05510	cellular_organisms	726	0.487603
AT1G05520	Eukaryota	2352	0.45068
AT1G05530	cellular_organisms	1368	0.459064
AT1G05540	malvids	1104	0.459239
AT1G05550	Mesangiospermae	711	0.468354
AT1G05560	cellular_organisms	1410	0.459574
AT1G05570	Eukaryota	5853	0.428157
AT1G05575	Magnoliophyta	270	0.459259
AT1G05577	Embryophyta	1119	0.452189
AT1G05580	cellular_organisms	2604	0.478111
AT1G05590	cellular_organisms	1743	0.445783
AT1G05600	Eukaryota	1515	0.419802
AT1G05610	cellular_organisms	1431	0.4116
AT1G05615	Mesangiospermae	519	0.450867
AT1G05620	cellular_organisms	969	0.437564
AT1G05630	cellular_organisms	3513	0.469399
AT1G05640	cellular_organisms	1884	0.440552
AT1G05650	cellular_organisms	1185	0.491139
AT1G05660	cellular_organisms	1185	0.484388
AT1G05670	Eukaryota	2226	0.398023
AT1G05675	cellular_organisms	1362	0.43906
AT1G05680	cellular_organisms	1362	0.449339
AT1G05690	Eukaryota	1095	0.430137
AT1G05700	cellular_organisms	2559	0.427511
AT1G05710	Streptophytina	450	0.464444
AT1G05720	Eukaryota	492	0.426829
AT1G05730	Eukaryota	450	0.44
AT1G05740	Eukaryota	438	0.43379
AT1G05750	Eukaryota	1503	0.441118
AT1G05760	Magnoliophyta	525	0.445714
AT1G05770	Embryophyta	555	0.436036
AT1G05780	Eukaryota	321	0.426791
AT1G05783	Arabidopsis_thaliana	336	0.369048
AT1G05785	Eukaryota	408	0.414216
AT1G05790	Eukaryota	2064	0.443798
AT1G05800	cellular_organisms	1416	0.451977
AT1G05805	Streptophyta	1089	0.487603
AT1G05810	cellular_organisms	657	0.482496
AT1G05820	cellular_organisms	1611	0.435133
AT1G05830	cellular_organisms	3252	0.439422
AT1G05835	Embryophyta	384	0.486979
AT1G05840	Eukaryota	1458	0.427298
AT1G05850	cellular_organisms	966	0.482402
AT1G05860	Eukaryota	843	0.443654
AT1G05870	Embryophyta	570	0.485965
AT1G05880	Eukaryota	1470	0.426531
AT1G05890	Eukaryota	1659	0.443038
AT1G05894	Mesangiospermae	1374	0.405386
AT1G05900	cellular_organisms	945	0.430688
AT1G05910	cellular_organisms	3633	0.453895
AT1G05920	Magnoliophyta	948	0.440928
AT1G05930	Magnoliophyta	957	0.45768
AT1G05940	cellular_organisms	1710	0.472515
AT1G05950	Magnoliophyta	1884	0.424628
AT1G05960	Eukaryota	2949	0.420821
AT1G05970	Streptophyta	597	0.474037
AT1G05990	cellular_organisms	453	0.448124
AT1G06000	Viridiplantae	1308	0.506881
AT1G06010	Magnoliophyta	237	0.451477
AT1G06020	cellular_organisms	1038	0.481696
AT1G06030	cellular_organisms	990	0.475758
AT1G06040	Eukaryota	747	0.457831
AT1G06045	Arabidopsis_thaliana	267	0.47191
AT1G06050	Eukaryota	942	0.442675
AT1G06060	Eukaryota	642	0.419003
AT1G06070	Viridiplantae	1272	0.455975
AT1G06080	cellular_organisms	918	0.462963
AT1G06090	cellular_organisms	900	0.474444
AT1G06100	cellular_organisms	900	0.448889
AT1G06110	cellular_organisms	1311	0.456903
AT1G06120	cellular_organisms	900	0.466667
AT1G06130	cellular_organisms	996	0.442771
AT1G06135	Magnoliophyta	210	0.485714
AT1G06137	Magnoliophyta	207	0.502415
AT1G06140	Eukaryota	1677	0.424568
AT1G06143	Eukaryota	1734	0.429066
AT1G06148	Arabidopsis_thaliana	228	0.442982
AT1G06150	Streptophyta	2205	0.431746
AT1G06160	Viridiplantae	735	0.45034
AT1G06170	Streptophyta	1263	0.435471
AT1G06180	Eukaryota	741	0.417004
AT1G06190	Embryophyta	1206	0.437811
AT1G06200	cellular_organisms	621	0.436393
AT1G06210	Eukaryota	1152	0.436632
AT1G06220	cellular_organisms	2964	0.446356
AT1G06225	Mesangiospermae	252	0.460317
AT1G06230	Eukaryota	2301	0.440243
AT1G06240	cellular_organisms	1152	0.478299
AT1G06250	cellular_organisms	1272	0.448899
AT1G06260	cellular_organisms	1032	0.455426
AT1G06270	Viridiplantae	1032	0.443798
AT1G06280	Streptophyta	621	0.426731
AT1G06290	cellular_organisms	2028	0.449211
AT1G06310	cellular_organisms	2028	0.440335
AT1G06320	Mesangiospermae	588	0.416667
AT1G06330	cellular_organisms	453	0.487859
AT1G06340	Viridiplantae	405	0.488889
AT1G06350	cellular_organisms	903	0.456257
AT1G06360	cellular_organisms	900	0.452222
AT1G06380	Eukaryota	765	0.448366
AT1G06390	cellular_organisms	1224	0.445261
AT1G06400	cellular_organisms	651	0.465438
AT1G06410	cellular_organisms	2556	0.437402
AT1G06420	malvids	666	0.418919
AT1G06430	cellular_organisms	2058	0.458698
AT1G06440	Streptophytina	1173	0.45098
AT1G06450	Eukaryota	1083	0.473684
AT1G06460	cellular_organisms	858	0.454545
AT1G06470	Eukaryota	1245	0.409639
AT1G06475	Magnoliophyta	282	0.457447
AT1G06490	Eukaryota	5877	0.421644
AT1G06500	Embryophyta	411	0.452555
AT1G06510	Streptophyta	834	0.431655
AT1G06515	Streptophyta	171	0.415205
AT1G06520	cellular_organisms	1758	0.435722
AT1G06530	cellular_organisms	972	0.484568
AT1G06540	rosids	378	0.492063
AT1G06550	cellular_organisms	1164	0.437285
AT1G06560	cellular_organisms	1800	0.453889
AT1G06570	cellular_organisms	1338	0.492526
AT1G06580	cellular_organisms	1185	0.398312
AT1G06590	Eukaryota	2751	0.434751
AT1G06620	cellular_organisms	1098	0.467213
AT1G06630	Tracheophyta	1434	0.435844
AT1G06640	cellular_organisms	1110	0.463964
AT1G06645	cellular_organisms	1140	0.44386
AT1G06650	cellular_organisms	945	0.457143
AT1G06660	Streptophyta	1446	0.444675
AT1G06670	cellular_organisms	4731	0.435637
AT1G06680	cellular_organisms	792	0.501263
AT1G06690	cellular_organisms	1134	0.472663
AT1G06700	cellular_organisms	1086	0.447514
AT1G06710	Eukaryota	2994	0.401804
AT1G06720	Eukaryota	3444	0.41957
AT1G06730	cellular_organisms	1467	0.460804
AT1G06740	Eukaryota	2181	0.442458
AT1G06750	Eukaryota	1560	0.448718
AT1G06760	Eukaryota	825	0.506667
AT1G06770	Eukaryota	1266	0.43049
AT1G06780	cellular_organisms	1770	0.422599
AT1G06790	cellular_organisms	615	0.44065
AT1G06800	cellular_organisms	1548	0.5323
AT1G06810	Tracheophyta	609	0.448276
AT1G06820	cellular_organisms	1788	0.434004
AT1G06830	Eukaryota	300	0.466667
AT1G06840	cellular_organisms	2862	0.431167
AT1G06850	Eukaryota	1014	0.480276
AT1G06870	cellular_organisms	1104	0.461957
