ID	SGD	DI	braker	maker
YAL064W	1	0	0	0
YAL066W	1	0	0	0
YAL068W-A	1	0	0	0
YAL069W	1	0	0	0
YAR035C-A	1	0	0	0
YAR053W	1	0	0	0
YAR070C	1	0	0	0
YBL006W-A	1	0	0	0
YBL008W-A	1	0	0	0
YBL039C-A	1	0	0	0
YBL109W	1	0	0	0
YBR076C-A	1	0	0	0
YBR131C-A	1	0	0	0
YBR223W-A	1	0	0	0
YBR296C-A	1	0	0	0
YCL023C	1	0	0	0
YCL041C	1	0	0	0
YCR038W-A	1	0	0	0
YCR108C	1	0	0	0
YDL025W-A	1	0	0	0
YDL159C-B	1	0	0	0
YDL162C	1	0	0	0
YDL247W-A	1	0	0	0
YDR010C	1	0	0	0
YDR015C	1	0	0	0
YDR048C	1	0	0	0
YDR114C	1	0	0	0
YDR136C	1	0	0	0
YDR194W-A	1	0	0	0
YDR209C	1	0	0	1
YDR241W	1	0	0	0
YDR271C	1	0	0	0
YDR371C-A	1	0	0	0
YDR431W	1	0	0	0
YDR491C	1	0	0	0
YDR524C-A	1	0	0	0
YEL010W	1	0	0	0
YER078W-A	1	0	0	0
YER088W-B	1	0	0	0
YER090C-A	1	0	0	0
YER091C-A	1	0	0	0
YER119C-A	1	0	0	0
YER133W-A	1	0	0	0
YER135C	1	0	0	1
YFL063W	1	0	0	0
YGL006W-A	1	0	0	0
YGL007C-A	1	0	0	0
YGL132W	1	0	0	0
YGR039W	1	0	0	0
YGR050C	1	0	0	0
YGR064W	1	0	0	0
YGR121W-A	1	0	0	0
YGR240C-A	1	0	0	0
YHL015W-A	1	0	0	0
YHL037C	1	0	0	0
YHL041W	1	0	0	0
YHL046W-A	1	0	0	0
YHR022C-A	1	0	0	0
YHR073C-B	1	0	0	0
YHR086W-A	1	0	0	0
YHR125W	1	0	0	0
YHR214C-E	1	0	0	0
YHR217C	1	0	0	0
YIL032C	1	0	0	0
YIL046W-A	1	0	0	0
YIL100C-A	1	0	0	0
YIL134C-A	1	0	0	1
YIL141W	1	0	0	0
YIR021W-A	1	0	0	0
YJL028W	1	1	0	0
YJL032W	1	0	0	0
YJL136W-A	1	0	0	0
YJL182C	1	0	0	0
YJL215C	1	1	0	1
YJR140W-A	1	0	0	0
YJR151W-A	1	0	0	0
YJR157W	1	0	0	0
YJR162C	1	0	0	0
YKL100W-A	1	0	0	0
YKL115C	1	0	0	0
YKL156C-A	1	0	0	0
YKL169C	1	0	0	0
YKL225W	1	0	0	0
YLL030C	1	0	0	0
YLL047W	1	0	0	0
YLL065W	1	0	0	1
YLR122C	1	0	0	0
YLR123C	1	0	0	0
YLR140W	1	0	0	1
YLR157W-E	1	0	0	0
YLR163W-A	1	0	0	0
YLR184W	1	0	0	0
YLR299C-A	1	0	0	0
YLR302C	1	0	0	0
YLR365W	1	0	0	0
YLR366W	1	1	0	0
YLR406C-A	1	0	0	0
YLR416C	1	0	0	0
YLR466C-B	1	0	0	0
YML084W	1	0	0	0
YMR001C-A	1	0	0	0
YMR082C	1	0	0	0
YMR151W	1	1	0	1
YMR175W-A	1	0	0	0
YMR194C-A	1	0	0	0
YMR230W-A	1	0	0	1
YMR254C	1	0	0	0
YMR315W-A	1	0	0	0
YMR326C	1	0	0	0
YNL114C	1	0	0	0
YNL146C-A	1	0	0	0
YNL171C	1	0	0	0
YNL269W	1	0	0	0
YNL277W-A	1	0	0	0
YNL337W	1	1	0	0
YNR003W-A	1	0	0	0
YNR077C	1	0	0	0
YOL035C	1	0	0	0
YOL038C-A	1	0	0	0
YOL083C-A	1	0	0	0
YOL085C	1	0	0	0
YOL097W-A	1	0	0	0
YOL118C	1	0	0	0
YOL155W-A	1	0	0	0
YOL164W-A	1	0	0	0
YOL166C	1	0	0	0
YOL166W-A	1	0	0	0
YOR011W-A	1	0	0	0
YOR032W-A	1	0	0	0
YOR053W	1	0	0	0
YOR072W-A	1	0	0	0
YOR082C	1	0	0	0
YOR121C	1	0	0	0
YOR161C-C	1	0	0	0
YOR161W-A	1	0	0	0
YOR293C-A	1	0	0	0
YOR316C-A	1	0	0	0
YOR329W-A	1	0	0	0
YOR335W-A	1	0	0	0
YOR364W	1	0	0	0
YOR381W-A	1	0	0	0
YOR392W	1	0	0	0
YOR394C-A	1	0	0	1
YPL035C	1	0	0	0
YPL038W-A	1	0	0	0
YPL056C	1	0	0	0
YPL152W-A	1	0	0	0
YPL205C	1	0	0	0
YPR039W	1	1	0	0
YPR126C	1	0	0	0
YPR160W-A	1	0	0	0
DI_small_mikado.IIIG15.1.orf2	0	1	0	0
DI_small_mikado.IVG180.1.orf2	0	1	0	0
DI_small_mikado.IXG20.1.orf3	0	1	0	0
DI_small_mikado.VIG20.1.orf5	0	1	0	0
DI_small_mikado.VIIG31.1.orf2	0	1	0	0
DI_small_mikado.VIIIG24.1.orf2	0	1	0	0
DI_small_mikado.XG13.1.orf2	0	1	0	0
DI_small_mikado.XIIIG44.1.orf2	0	1	0	0
DI_small_mikado.XVG102.1.orf6	0	1	0	0
DI_small_mikado.XVG46.1.orf10	0	1	0	0
braker_small_g3660.t1	0	0	1	1
maker_small_maker-VII-exonerate_protein2genome-gene-7.140-mRNA-1	0	0	0	1
maker_small_maker-VII-exonerate_est2genome-gene-9.89-mRNA-1	0	0	0	1
