"","qseqid","mrca","ps","mrca_name"
"126","g677.t1","131567",1,"cellular organisms"
"127","g679.t1","131567",1,"cellular organisms"
"128","g682.t1","131567",1,"cellular organisms"
"129","g685.t1","131567",1,"cellular organisms"
"130","g690.t1","131567",1,"cellular organisms"
"131","g691.t1","131567",1,"cellular organisms"
"132","g697.t1","131567",1,"cellular organisms"
"133","g698.t1","131567",1,"cellular organisms"
"134","g702.t1","131567",1,"cellular organisms"
"135","g708.t1","131567",1,"cellular organisms"
"136","g709.t1","131567",1,"cellular organisms"
"137","g710.t1","131567",1,"cellular organisms"
"138","g713.t1","131567",1,"cellular organisms"
"139","g714.t1","131567",1,"cellular organisms"
"140","g715.t1","131567",1,"cellular organisms"
"141","g717.t1","131567",1,"cellular organisms"
"142","g731.t1","131567",1,"cellular organisms"
"143","g732.t1","131567",1,"cellular organisms"
"144","g737.t1","131567",1,"cellular organisms"
"145","g738.t1","131567",1,"cellular organisms"
"146","g740.t1","131567",1,"cellular organisms"
"147","g745.t1","131567",1,"cellular organisms"
"148","g749.t1","131567",1,"cellular organisms"
"149","g765.t1","131567",1,"cellular organisms"
"150","g767.t1","131567",1,"cellular organisms"
"151","g774.t1","131567",1,"cellular organisms"
"152","g776.t1","131567",1,"cellular organisms"
"153","g777.t1","131567",1,"cellular organisms"
"154","g779.t1","131567",1,"cellular organisms"
"155","g784.t1","131567",1,"cellular organisms"
"156","g788.t1","131567",1,"cellular organisms"
"157","g790.t1","131567",1,"cellular organisms"
"158","g796.t1","131567",1,"cellular organisms"
"159","g807.t1","131567",1,"cellular organisms"
"160","g808.t1","131567",1,"cellular organisms"
"161","g808.t2","131567",1,"cellular organisms"
"162","g812.t1","131567",1,"cellular organisms"
"163","g813.t1","131567",1,"cellular organisms"
"164","g815.t1","131567",1,"cellular organisms"
"165","g816.t1","131567",1,"cellular organisms"
"166","g820.t1","131567",1,"cellular organisms"
"167","g822.t1","131567",1,"cellular organisms"
"168","g823.t1","131567",1,"cellular organisms"
"169","g830.t1","131567",1,"cellular organisms"
"170","g830.t2","131567",1,"cellular organisms"
"171","g832.t1","131567",1,"cellular organisms"
"172","g833.t2","131567",1,"cellular organisms"
"173","g841.t1","131567",1,"cellular organisms"
"174","g850.t1","131567",1,"cellular organisms"
"175","g852.t1","131567",1,"cellular organisms"
"176","g856.t1","131567",1,"cellular organisms"
"177","g862.t1","131567",1,"cellular organisms"
"178","g866.t1","131567",1,"cellular organisms"
"179","g867.t1","131567",1,"cellular organisms"
"180","g871.t1","131567",1,"cellular organisms"
"181","g874.t1","131567",1,"cellular organisms"
"182","g875.t1","131567",1,"cellular organisms"
"183","g876.t1","131567",1,"cellular organisms"
"184","g882.t1","131567",1,"cellular organisms"
"185","g886.t1","131567",1,"cellular organisms"
"186","g888.t1","131567",1,"cellular organisms"
"187","g901.t1","131567",1,"cellular organisms"
"188","g905.t1","131567",1,"cellular organisms"
"189","g907.t1","131567",1,"cellular organisms"
"190","g908.t1","131567",1,"cellular organisms"
"191","g913.t1","131567",1,"cellular organisms"
"192","g914.t1","131567",1,"cellular organisms"
"193","g926.t1","131567",1,"cellular organisms"
"194","g929.t1","131567",1,"cellular organisms"
"195","g938.t1","131567",1,"cellular organisms"
"196","g939.t1","131567",1,"cellular organisms"
"197","g946.t1","131567",1,"cellular organisms"
"198","g956.t1","131567",1,"cellular organisms"
"199","g965.t3","131567",1,"cellular organisms"
"200","g966.t1","131567",1,"cellular organisms"
"201","g970.t1","131567",1,"cellular organisms"
"202","g984.t1","131567",1,"cellular organisms"
"203","g987.t1","131567",1,"cellular organisms"
"204","g989.t1","131567",1,"cellular organisms"
"205","g1003.t1","131567",1,"cellular organisms"
"206","g1005.t1","131567",1,"cellular organisms"
"207","g1008.t1","131567",1,"cellular organisms"
"208","g1008.t2","131567",1,"cellular organisms"
"209","g1009.t1","131567",1,"cellular organisms"
"210","g1011.t1","131567",1,"cellular organisms"
"211","g1017.t1","131567",1,"cellular organisms"
"212","g1022.t1","131567",1,"cellular organisms"
"213","g1026.t1","131567",1,"cellular organisms"
"214","g1037.t1","131567",1,"cellular organisms"
"215","g1045.t1","131567",1,"cellular organisms"
"216","g1046.t1","131567",1,"cellular organisms"
"217","g1056.t1","131567",1,"cellular organisms"
"218","g1063.t1","131567",1,"cellular organisms"
"219","g1070.t1","131567",1,"cellular organisms"
"220","g1071.t1","131567",1,"cellular organisms"
"221","g1071.t2","131567",1,"cellular organisms"
"222","g1073.t1","131567",1,"cellular organisms"
"223","g1073.t2","131567",1,"cellular organisms"
"224","g1075.t1","131567",1,"cellular organisms"
"225","g1075.t2","131567",1,"cellular organisms"
"226","g1076.t1","131567",1,"cellular organisms"
"227","g1079.t1","131567",1,"cellular organisms"
"228","g1080.t1","131567",1,"cellular organisms"
"229","g1081.t1","131567",1,"cellular organisms"
"230","g1087.t1","131567",1,"cellular organisms"
"231","g1089.t1","131567",1,"cellular organisms"
"232","g1104.t1","131567",1,"cellular organisms"
"233","g1122.t1","131567",1,"cellular organisms"
"234","g1123.t1","131567",1,"cellular organisms"
"235","g1128.t1","131567",1,"cellular organisms"
"236","g1130.t1","131567",1,"cellular organisms"
"237","g1134.t1","131567",1,"cellular organisms"
"238","g1137.t1","131567",1,"cellular organisms"
"239","g1141.t1","131567",1,"cellular organisms"
"240","g1143.t1","131567",1,"cellular organisms"
"241","g1144.t1","131567",1,"cellular organisms"
"242","g1144.t2","131567",1,"cellular organisms"
"243","g1153.t1","131567",1,"cellular organisms"
"244","g1160.t1","131567",1,"cellular organisms"
"245","g1164.t1","131567",1,"cellular organisms"
"246","g1181.t1","131567",1,"cellular organisms"
"247","g1184.t1","131567",1,"cellular organisms"
"248","g1189.t1","131567",1,"cellular organisms"
"249","g1198.t1","131567",1,"cellular organisms"
"250","g1198.t2","131567",1,"cellular organisms"
"251","g1202.t1","131567",1,"cellular organisms"
"252","g1207.t1","131567",1,"cellular organisms"
"253","g1215.t1","131567",1,"cellular organisms"
"254","g1218.t1","131567",1,"cellular organisms"
"255","g1231.t1","131567",1,"cellular organisms"
"256","g1232.t1","131567",1,"cellular organisms"
"257","g1238.t1","131567",1,"cellular organisms"
"258","g1240.t1","131567",1,"cellular organisms"
"259","g1242.t1","131567",1,"cellular organisms"
"260","g1244.t1","131567",1,"cellular organisms"
"261","g1255.t1","131567",1,"cellular organisms"
"262","g1260.t1","131567",1,"cellular organisms"
"263","g1261.t1","131567",1,"cellular organisms"
"264","g1263.t1","131567",1,"cellular organisms"
"265","g1287.t1","131567",1,"cellular organisms"
"266","g1289.t1","131567",1,"cellular organisms"
"267","g1292.t1","131567",1,"cellular organisms"
"268","g1300.t1","131567",1,"cellular organisms"
"269","g1300.t2","131567",1,"cellular organisms"
"270","g1309.t1","131567",1,"cellular organisms"
"271","g1327.t1","131567",1,"cellular organisms"
"272","g1330.t1","131567",1,"cellular organisms"
"273","g1337.t1","131567",1,"cellular organisms"
"274","g1341.t1","131567",1,"cellular organisms"
"275","g1349.t1","131567",1,"cellular organisms"
"276","g1356.t1","131567",1,"cellular organisms"
"277","g1357.t1","131567",1,"cellular organisms"
"278","g1366.t1","131567",1,"cellular organisms"
"279","g1390.t1","131567",1,"cellular organisms"
"280","g1408.t1","131567",1,"cellular organisms"
"281","g1410.t1","131567",1,"cellular organisms"
"282","g1417.t1","131567",1,"cellular organisms"
"283","g1433.t1","131567",1,"cellular organisms"
"284","g1439.t1","131567",1,"cellular organisms"
"285","g1460.t1","131567",1,"cellular organisms"
"286","g1477.t1","131567",1,"cellular organisms"
"287","g1484.t1","131567",1,"cellular organisms"
"288","g1492.t1","131567",1,"cellular organisms"
"289","g1493.t1","131567",1,"cellular organisms"
"290","g1494.t1","131567",1,"cellular organisms"
"291","g1496.t1","131567",1,"cellular organisms"
"292","g1497.t1","131567",1,"cellular organisms"
"293","g1500.t1","131567",1,"cellular organisms"
"294","g1510.t1","131567",1,"cellular organisms"
"295","g1518.t1","131567",1,"cellular organisms"
"296","g1529.t1","131567",1,"cellular organisms"
"297","g1531.t1","131567",1,"cellular organisms"
"298","g1532.t1","131567",1,"cellular organisms"
"299","g1549.t1","131567",1,"cellular organisms"
"300","g1550.t1","131567",1,"cellular organisms"
"301","g1554.t1","131567",1,"cellular organisms"
"302","g1561.t1","131567",1,"cellular organisms"
"303","g1575.t1","131567",1,"cellular organisms"
"304","g1576.t1","131567",1,"cellular organisms"
"305","g1577.t1","131567",1,"cellular organisms"
"306","g1584.t1","131567",1,"cellular organisms"
"307","g1590.t1","131567",1,"cellular organisms"
"308","g1591.t1","131567",1,"cellular organisms"
"309","g1592.t1","131567",1,"cellular organisms"
"310","g1593.t1","131567",1,"cellular organisms"
"311","g1594.t1","131567",1,"cellular organisms"
"312","g1603.t1","131567",1,"cellular organisms"
"313","g1604.t1","131567",1,"cellular organisms"
"314","g1604.t2","131567",1,"cellular organisms"
"315","g1605.t1","131567",1,"cellular organisms"
"316","g1606.t1","131567",1,"cellular organisms"
"317","g1608.t1","131567",1,"cellular organisms"
"318","g1613.t1","131567",1,"cellular organisms"
"319","g1615.t1","131567",1,"cellular organisms"
"320","g1616.t1","131567",1,"cellular organisms"
"321","g1617.t1","131567",1,"cellular organisms"
"322","g1622.t1","131567",1,"cellular organisms"
"323","g1624.t1","131567",1,"cellular organisms"
"324","g1633.t1","131567",1,"cellular organisms"
"325","g1642.t1","131567",1,"cellular organisms"
"326","g1643.t1","131567",1,"cellular organisms"
"327","g1645.t1","131567",1,"cellular organisms"
"328","g1645.t2","131567",1,"cellular organisms"
"329","g1649.t1","131567",1,"cellular organisms"
"330","g1651.t1","131567",1,"cellular organisms"
"331","g1653.t1","131567",1,"cellular organisms"
"332","g1655.t1","131567",1,"cellular organisms"
"333","g1655.t2","131567",1,"cellular organisms"
"334","g1683.t1","131567",1,"cellular organisms"
"335","g1690.t1","131567",1,"cellular organisms"
"336","g1695.t1","131567",1,"cellular organisms"
"337","g1696.t1","131567",1,"cellular organisms"
"338","g1702.t1","131567",1,"cellular organisms"
"339","g1703.t1","131567",1,"cellular organisms"
"340","g1704.t1","131567",1,"cellular organisms"
"341","g1706.t1","131567",1,"cellular organisms"
"342","g1707.t1","131567",1,"cellular organisms"
"343","g1713.t1","131567",1,"cellular organisms"
"344","g1725.t1","131567",1,"cellular organisms"
"345","g1727.t1","131567",1,"cellular organisms"
"346","g1732.t1","131567",1,"cellular organisms"
"347","g1737.t1","131567",1,"cellular organisms"
"348","g1741.t1","131567",1,"cellular organisms"
"349","g1743.t1","131567",1,"cellular organisms"
"350","g1760.t1","131567",1,"cellular organisms"
"351","g1761.t1","131567",1,"cellular organisms"
"352","g1767.t1","131567",1,"cellular organisms"
"353","g1770.t1","131567",1,"cellular organisms"
"354","g1771.t1","131567",1,"cellular organisms"
"355","g1775.t1","131567",1,"cellular organisms"
"356","g1777.t1","131567",1,"cellular organisms"
"357","g1782.t1","131567",1,"cellular organisms"
"358","g1785.t1","131567",1,"cellular organisms"
"359","g1788.t1","131567",1,"cellular organisms"
"360","g1790.t1","131567",1,"cellular organisms"
"361","g1793.t1","131567",1,"cellular organisms"
"362","g1793.t2","131567",1,"cellular organisms"
"363","g1798.t1","131567",1,"cellular organisms"
"364","g1799.t1","131567",1,"cellular organisms"
"365","g1800.t1","131567",1,"cellular organisms"
"366","g1801.t1","131567",1,"cellular organisms"
"367","g1814.t1","131567",1,"cellular organisms"
"368","g1814.t2","131567",1,"cellular organisms"
"369","g1814.t3","131567",1,"cellular organisms"
"370","g1823.t1","131567",1,"cellular organisms"
"371","g1827.t1","131567",1,"cellular organisms"
"372","g1827.t2","131567",1,"cellular organisms"
"373","g1831.t1","131567",1,"cellular organisms"
"374","g1839.t1","131567",1,"cellular organisms"
"375","g1849.t1","131567",1,"cellular organisms"
"376","g1850.t1","131567",1,"cellular organisms"
"377","g1856.t1","131567",1,"cellular organisms"
"378","g1879.t1","131567",1,"cellular organisms"
"379","g1881.t1","131567",1,"cellular organisms"
"380","g1894.t1","131567",1,"cellular organisms"
"381","g1897.t1","131567",1,"cellular organisms"
"382","g1901.t1","131567",1,"cellular organisms"
"383","g1910.t1","131567",1,"cellular organisms"
"384","g1916.t1","131567",1,"cellular organisms"
"385","g1931.t1","131567",1,"cellular organisms"
"386","g1937.t1","131567",1,"cellular organisms"
"387","g1938.t1","131567",1,"cellular organisms"
"388","g1940.t1","131567",1,"cellular organisms"
"389","g1941.t1","131567",1,"cellular organisms"
"390","g1952.t1","131567",1,"cellular organisms"
"391","g1953.t1","131567",1,"cellular organisms"
"392","g1959.t1","131567",1,"cellular organisms"
"393","g1962.t1","131567",1,"cellular organisms"
"394","g1964.t1","131567",1,"cellular organisms"
"395","g1967.t1","131567",1,"cellular organisms"
"396","g1968.t1","131567",1,"cellular organisms"
"397","g1973.t1","131567",1,"cellular organisms"
"398","g1974.t1","131567",1,"cellular organisms"
"399","g1975.t1","131567",1,"cellular organisms"
"400","g1976.t1","131567",1,"cellular organisms"
"401","g1998.t1","131567",1,"cellular organisms"
"402","g2010.t1","131567",1,"cellular organisms"
"403","g2018.t1","131567",1,"cellular organisms"
"404","g2025.t1","131567",1,"cellular organisms"
"405","g2029.t1","131567",1,"cellular organisms"
"406","g2030.t1","131567",1,"cellular organisms"
"407","g2042.t1","131567",1,"cellular organisms"
"408","g2043.t1","131567",1,"cellular organisms"
"409","g2044.t1","131567",1,"cellular organisms"
"410","g2045.t1","131567",1,"cellular organisms"
"411","g2050.t1","131567",1,"cellular organisms"
"412","g2052.t1","131567",1,"cellular organisms"
"413","g2060.t1","131567",1,"cellular organisms"
"414","g2064.t1","131567",1,"cellular organisms"
"415","g2072.t1","131567",1,"cellular organisms"
"416","g2074.t1","131567",1,"cellular organisms"
"417","g2087.t1","131567",1,"cellular organisms"
"418","g2089.t1","131567",1,"cellular organisms"
"419","g2095.t1","131567",1,"cellular organisms"
"420","g2095.t2","131567",1,"cellular organisms"
"421","g2095.t3","131567",1,"cellular organisms"
"422","g2097.t1","131567",1,"cellular organisms"
"423","g2099.t1","131567",1,"cellular organisms"
"424","g2110.t1","131567",1,"cellular organisms"
"425","g2112.t1","131567",1,"cellular organisms"
"426","g2118.t1","131567",1,"cellular organisms"
"427","g2120.t1","131567",1,"cellular organisms"
"428","g2124.t1","131567",1,"cellular organisms"
"429","g2126.t1","131567",1,"cellular organisms"
"430","g2127.t1","131567",1,"cellular organisms"
"431","g2129.t1","131567",1,"cellular organisms"
"432","g2131.t1","131567",1,"cellular organisms"
"433","g2141.t1","131567",1,"cellular organisms"
"434","g2141.t2","131567",1,"cellular organisms"
"435","g2146.t1","131567",1,"cellular organisms"
"436","g2148.t1","131567",1,"cellular organisms"
"437","g2160.t1","131567",1,"cellular organisms"
"438","g2161.t1","131567",1,"cellular organisms"
"439","g2166.t1","131567",1,"cellular organisms"
"440","g2171.t1","131567",1,"cellular organisms"
"441","g2172.t1","131567",1,"cellular organisms"
"442","g2172.t2","131567",1,"cellular organisms"
"443","g2172.t3","131567",1,"cellular organisms"
"444","g2174.t1","131567",1,"cellular organisms"
"445","g2175.t1","131567",1,"cellular organisms"
"446","g2176.t1","131567",1,"cellular organisms"
"447","g2176.t2","131567",1,"cellular organisms"
"448","g2184.t1","131567",1,"cellular organisms"
"449","g2192.t1","131567",1,"cellular organisms"
"450","g2193.t1","131567",1,"cellular organisms"
"451","g2215.t1","131567",1,"cellular organisms"
"452","g2217.t1","131567",1,"cellular organisms"
"453","g2229.t1","131567",1,"cellular organisms"
"454","g2256.t1","131567",1,"cellular organisms"
"455","g2258.t1","131567",1,"cellular organisms"
"456","g2259.t1","131567",1,"cellular organisms"
"457","g2269.t1","131567",1,"cellular organisms"
"458","g2281.t1","131567",1,"cellular organisms"
"459","g2293.t1","131567",1,"cellular organisms"
"460","g2300.t1","131567",1,"cellular organisms"
"461","g2307.t1","131567",1,"cellular organisms"
"462","g2315.t1","131567",1,"cellular organisms"
"463","g2316.t1","131567",1,"cellular organisms"
"464","g2316.t2","131567",1,"cellular organisms"
"465","g2316.t3","131567",1,"cellular organisms"
"466","g2324.t1","131567",1,"cellular organisms"
"467","g2325.t1","131567",1,"cellular organisms"
"468","g2335.t1","131567",1,"cellular organisms"
"469","g2347.t1","131567",1,"cellular organisms"
"470","g2348.t1","131567",1,"cellular organisms"
"471","g2353.t1","131567",1,"cellular organisms"
"472","g2364.t1","131567",1,"cellular organisms"
"473","g2366.t1","131567",1,"cellular organisms"
"474","g2371.t1","131567",1,"cellular organisms"
"475","g2383.t1","131567",1,"cellular organisms"
"476","g2383.t2","131567",1,"cellular organisms"
"477","g2386.t1","131567",1,"cellular organisms"
"478","g2387.t1","131567",1,"cellular organisms"
"479","g2393.t1","131567",1,"cellular organisms"
"480","g2419.t1","131567",1,"cellular organisms"
"481","g2419.t2","131567",1,"cellular organisms"
"482","g2424.t1","131567",1,"cellular organisms"
"483","g2426.t1","131567",1,"cellular organisms"
"484","g2429.t1","131567",1,"cellular organisms"
"485","g2439.t1","131567",1,"cellular organisms"
"486","g2445.t1","131567",1,"cellular organisms"
"487","g2453.t1","131567",1,"cellular organisms"
"488","g2453.t2","131567",1,"cellular organisms"
"489","g2458.t1","131567",1,"cellular organisms"
"490","g2460.t1","131567",1,"cellular organisms"
"491","g2471.t1","131567",1,"cellular organisms"
"492","g2474.t1","131567",1,"cellular organisms"
"493","g2475.t1","131567",1,"cellular organisms"
"494","g2488.t1","131567",1,"cellular organisms"
"495","g2490.t1","131567",1,"cellular organisms"
"496","g2495.t1","131567",1,"cellular organisms"
"497","g2502.t1","131567",1,"cellular organisms"
"498","g2512.t1","131567",1,"cellular organisms"
"499","g2519.t1","131567",1,"cellular organisms"
"500","g2526.t1","131567",1,"cellular organisms"
"501","g2533.t1","131567",1,"cellular organisms"
"502","g2533.t2","131567",1,"cellular organisms"
"503","g2536.t1","131567",1,"cellular organisms"
"504","g2539.t1","131567",1,"cellular organisms"
"505","g2542.t1","131567",1,"cellular organisms"
"506","g2544.t1","131567",1,"cellular organisms"
"507","g2546.t1","131567",1,"cellular organisms"
"508","g2552.t1","131567",1,"cellular organisms"
"509","g2553.t1","131567",1,"cellular organisms"
"510","g2556.t1","131567",1,"cellular organisms"
"511","g2565.t1","131567",1,"cellular organisms"
"512","g2575.t1","131567",1,"cellular organisms"
"513","g2576.t1","131567",1,"cellular organisms"
"514","g2577.t1","131567",1,"cellular organisms"
"515","g2578.t1","131567",1,"cellular organisms"
"516","g2581.t1","131567",1,"cellular organisms"
"517","g2585.t1","131567",1,"cellular organisms"
"518","g2594.t1","131567",1,"cellular organisms"
"519","g2594.t2","131567",1,"cellular organisms"
"520","g2601.t1","131567",1,"cellular organisms"
"521","g2602.t1","131567",1,"cellular organisms"
"522","g2603.t1","131567",1,"cellular organisms"
"523","g2604.t1","131567",1,"cellular organisms"
"524","g2605.t1","131567",1,"cellular organisms"
"525","g2620.t1","131567",1,"cellular organisms"
"526","g2658.t1","131567",1,"cellular organisms"
"527","g2659.t1","131567",1,"cellular organisms"
"528","g2663.t1","131567",1,"cellular organisms"
"529","g2682.t1","131567",1,"cellular organisms"
"530","g2684.t1","131567",1,"cellular organisms"
"531","g2686.t1","131567",1,"cellular organisms"
"532","g2687.t1","131567",1,"cellular organisms"
"533","g2700.t1","131567",1,"cellular organisms"
"534","g2709.t1","131567",1,"cellular organisms"
"535","g2712.t1","131567",1,"cellular organisms"
"536","g2718.t1","131567",1,"cellular organisms"
"537","g2736.t1","131567",1,"cellular organisms"
"538","g2746.t1","131567",1,"cellular organisms"
"539","g2758.t1","131567",1,"cellular organisms"
"540","g2764.t1","131567",1,"cellular organisms"
"541","g2768.t1","131567",1,"cellular organisms"
"542","g2771.t1","131567",1,"cellular organisms"
"543","g2780.t1","131567",1,"cellular organisms"
"544","g2789.t1","131567",1,"cellular organisms"
"545","g2792.t1","131567",1,"cellular organisms"
"546","g2803.t1","131567",1,"cellular organisms"
"547","g2809.t1","131567",1,"cellular organisms"
"548","g2815.t1","131567",1,"cellular organisms"
"549","g2821.t1","131567",1,"cellular organisms"
"550","g2854.t1","131567",1,"cellular organisms"
"551","g2881.t1","131567",1,"cellular organisms"
"552","g2881.t2","131567",1,"cellular organisms"
"553","g2900.t1","131567",1,"cellular organisms"
"554","g2900.t2","131567",1,"cellular organisms"
"555","g2936.t1","131567",1,"cellular organisms"
"556","g2937.t1","131567",1,"cellular organisms"
"557","g2937.t2","131567",1,"cellular organisms"
"558","g2938.t1","131567",1,"cellular organisms"
"559","g2939.t1","131567",1,"cellular organisms"
"560","g2946.t1","131567",1,"cellular organisms"
"561","g2949.t1","131567",1,"cellular organisms"
"562","g2952.t1","131567",1,"cellular organisms"
"563","g2953.t1","131567",1,"cellular organisms"
"564","g2955.t1","131567",1,"cellular organisms"
"565","g2959.t1","131567",1,"cellular organisms"
"566","g2967.t1","131567",1,"cellular organisms"
"567","g2978.t1","131567",1,"cellular organisms"
"568","g2992.t1","131567",1,"cellular organisms"
"569","g2997.t1","131567",1,"cellular organisms"
"570","g3000.t1","131567",1,"cellular organisms"
"571","g3010.t1","131567",1,"cellular organisms"
"572","g3011.t1","131567",1,"cellular organisms"
"573","g3012.t1","131567",1,"cellular organisms"
"574","g3014.t1","131567",1,"cellular organisms"
"575","g3022.t1","131567",1,"cellular organisms"
"576","g3022.t2","131567",1,"cellular organisms"
"577","g3024.t1","131567",1,"cellular organisms"
"578","g3030.t1","131567",1,"cellular organisms"
"579","g3031.t1","131567",1,"cellular organisms"
"580","g3035.t1","131567",1,"cellular organisms"
"581","g3037.t1","131567",1,"cellular organisms"
"582","g3043.t1","131567",1,"cellular organisms"
"583","g3044.t1","131567",1,"cellular organisms"
"584","g3045.t1","131567",1,"cellular organisms"
"585","g3046.t1","131567",1,"cellular organisms"
"586","g3047.t1","131567",1,"cellular organisms"
"587","g3050.t1","131567",1,"cellular organisms"
"588","g3060.t1","131567",1,"cellular organisms"
"589","g3082.t1","131567",1,"cellular organisms"
"590","g3089.t1","131567",1,"cellular organisms"
